"geometry",".tidygraph_node_index"
c(10.1911115, 56.1599198),1416
c(10.1911296, 56.1597793),1417
c(10.1916474, 56.1588786),1418
c(10.1918112, 56.158642),NA
c(10.1919938, 56.1585187),NA
c(10.1923141, 56.1583595),NA
c(10.1923409, 56.1583693),1419
c(10.1924504, 56.1584057),1420
c(10.1924698, 56.1584113),NA
c(10.1927395, 56.1585091),NA
c(10.191121, 56.159581),NA
c(10.1914657, 56.159157),NA
c(10.1915476, 56.1590542),NA
c(10.190271, 56.1593317),NA
c(10.1904118, 56.1591543),1421
c(10.1906062, 56.1589806),1422
c(10.1905814, 56.1589724),NA
c(10.1904219, 56.1589246),1423
c(10.1911828, 56.1589784),1425
c(10.1913217, 56.15959),1426
c(10.1914109, 56.1595821),NA
c(10.1918012, 56.1595028),NA
c(10.1919414, 56.1594014),NA
c(10.1920615, 56.1592677),NA
c(10.1920724, 56.1592552),NA
c(10.192102, 56.1592177),1427
c(10.1912044, 56.1595854),1428
c(10.1918158, 56.1589206),1429
c(10.192466, 56.1588001),1430
c(10.1926655, 56.158871),NA
c(10.1927333, 56.1588951),NA
c(10.1913646, 56.1587916),1433
c(10.1912108, 56.1585561),1434
c(10.1912218, 56.1586044),NA
c(10.1913373, 56.1585978),1435
c(10.1906572, 56.158981),1436
c(10.1908003, 56.1588647),NA
c(10.1909929, 56.1587364),NA
c(10.1911282, 56.1585848),NA
c(10.1912768, 56.158528),NA
c(10.1914173, 56.1585072),NA
c(10.1914752, 56.1584965),NA
c(10.1915975, 56.1584454),NA
c(10.1917075, 56.1584012),NA
c(10.1918367, 56.1583557),NA
c(10.1921854, 56.158297),NA
c(10.1915392, 56.1584143),1438
c(10.1916615, 56.1584774),1439
c(10.1954696, 56.1620377),NA
c(10.195375, 56.1618457),1441
c(10.1952363, 56.161566),1442
c(10.1953326, 56.1617614),1443
c(10.1962761, 56.1607524),NA
c(10.1955926, 56.1609223),NA
c(10.195558, 56.1609311),NA
c(10.194182, 56.1582345),1445
c(10.193801, 56.158269),1446
c(10.1912842, 56.1597589),1447
c(10.1913643, 56.1597483),NA
c(10.1917711, 56.1596969),NA
c(10.1925649, 56.1595967),NA
c(10.1933002, 56.1595607),NA
c(10.1933954, 56.1606567),1448
c(10.1937156, 56.1612251),1449
c(10.1962981, 56.1600369),1450
c(10.1961927, 56.1600423),NA
c(10.1961309, 56.160046),NA
c(10.1956263, 56.1601105),NA
c(10.1953527, 56.1601986),NA
c(10.1941586, 56.1609729),NA
c(10.1940721, 56.1610267),NA
c(10.1939988, 56.1610729),NA
c(10.1924269, 56.1616771),NA
c(10.1923957, 56.1616804),1451
c(10.186409, 56.1646587),1452
c(10.1859484, 56.1648752),NA
c(10.1858021, 56.1651925),1453
c(10.1870634, 56.1644417),1454
c(10.1867822, 56.1645349),1455
c(10.1722897, 56.1670165),1456
c(10.1727841, 56.1670133),NA
c(10.1730749, 56.1671967),NA
c(10.1732302, 56.1672482),1457
c(10.1689067, 56.1650785),NA
c(10.1684087, 56.1652712),NA
c(10.1678724, 56.1654937),1458
c(10.1789113, 56.1622634),1459
c(10.1796882, 56.1619785),NA
c(10.1809534, 56.1615409),1460
c(10.1805956, 56.1617589),1462
c(10.1816281, 56.1614254),1463
c(10.1815526, 56.1613485),1464
c(10.1817645, 56.1607849),1465
c(10.1821467, 56.1609468),NA
c(10.1813822, 56.1607599),1466
c(10.179978, 56.1603446),NA
c(10.1789225, 56.1600364),1467
c(10.1814657, 56.1608681),1468
c(10.1805723, 56.1613528),NA
c(10.18024, 56.1614508),NA
c(10.1793109, 56.1615869),NA
c(10.1788037, 56.1615876),NA
c(10.178521, 56.1615643),NA
c(10.1783828, 56.1615488),NA
c(10.1777031, 56.1614054),1469
c(10.1790446, 56.159909),1470
c(10.1801003, 56.1602161),NA
c(10.1814951, 56.1606362),1471
c(10.1802736, 56.1585849),1472
c(10.1803543, 56.1585902),NA
c(10.1803985, 56.1586024),NA
c(10.1812689, 56.1589964),NA
c(10.1817123, 56.1594403),NA
c(10.1819215, 56.1599157),NA
c(10.1818297, 56.160398),NA
c(10.1817066, 56.1606199),1473
c(10.1792567, 56.1611022),NA
c(10.1792827, 56.1610744),NA
c(10.1793557, 56.1609964),NA
c(10.1794298, 56.1609195),NA
c(10.1794564, 56.1608916),NA
c(10.1796404, 56.1606987),NA
c(10.1798466, 56.1604824),NA
c(10.1802307, 56.1600791),NA
c(10.1804218, 56.1598807),NA
c(10.1806071, 56.1596885),NA
c(10.1806173, 56.1596779),NA
c(10.1806401, 56.159652),NA
c(10.1807155, 56.1595741),NA
c(10.1807916, 56.159496),NA
c(10.1808111, 56.1594742),NA
c(10.1810998, 56.1591711),NA
c(10.1812266, 56.1590414),NA
c(10.1813644, 56.1588915),NA
c(10.1813922, 56.158861),NA
c(10.1814201, 56.1588303),NA
c(10.1814487, 56.1587989),NA
c(10.1814979, 56.1587448),NA
c(10.1818949, 56.1583381),1475
c(10.1775673, 56.1604729),1476
c(10.1777141, 56.1605164),NA
c(10.1783076, 56.1606923),NA
c(10.1792167, 56.1609564),NA
c(10.1794957, 56.1610374),NA
c(10.17967, 56.1592755),1478
c(10.180574, 56.1595337),NA
c(10.1808577, 56.1596142),NA
c(10.1819932, 56.1583663),1481
c(10.1784059, 56.1595999),1482
c(10.1791244, 56.1598201),1483
c(10.1788473, 56.1601097),1484
c(10.1780979, 56.1599093),NA
c(10.1781162, 56.1598872),NA
c(10.1788813, 56.1590616),1485
c(10.1772211, 56.1608454),NA
c(10.1770685, 56.1610096),NA
c(10.1770494, 56.1610302),NA
c(10.1769647, 56.1611214),1487
c(10.1765418, 56.1615769),1488
c(10.1762701, 56.1614973),NA
c(10.1775399, 56.1612958),1489
c(10.1783682, 56.1616644),1491
c(10.1783676, 56.1616887),NA
c(10.1779491, 56.1623446),NA
c(10.1780097, 56.1624201),NA
c(10.1780803, 56.1625033),1493
c(10.1805298, 56.1584546),1494
c(10.1809599, 56.158578),NA
c(10.1813346, 56.1581752),NA
c(10.1813187, 56.1576119),1497
c(10.1808956, 56.1580432),1499
c(10.1808299, 56.1576923),1500
c(10.1810289, 56.1576596),NA
c(10.1800836, 56.1573074),1501
c(10.1797365, 56.1576534),NA
c(10.1797873, 56.1577474),NA
c(10.1799042, 56.1578134),NA
c(10.1800198, 56.157856),NA
c(10.1801384, 56.1578797),NA
c(10.1805334, 56.1578421),NA
c(10.1806632, 56.1578248),1502
c(10.1796664, 56.1576427),NA
c(10.1794578, 56.1576296),1504
c(10.1888217, 56.1608651),1505
c(10.1892842, 56.1608413),1506
c(10.1897843, 56.1598365),1507
c(10.1897998, 56.1598801),NA
c(10.1900473, 56.1604242),NA
c(10.190339, 56.1608431),NA
c(10.1904711, 56.1612539),NA
c(10.1904155, 56.1614518),1508
c(10.1880184, 56.1620043),1509
c(10.187827, 56.1623288),NA
c(10.1878063, 56.1623356),NA
c(10.1869395, 56.1633515),1510
c(10.1900251, 56.1609463),1511
c(10.1890437, 56.1614244),NA
c(10.1873428, 56.1623574),NA
c(10.1861925, 56.1626807),NA
c(10.1857928, 56.162887),NA
c(10.1857504, 56.1630036),NA
c(10.1857779, 56.1631384),NA
c(10.1859288, 56.1632683),NA
c(10.1860404, 56.1633328),NA
c(10.1871305, 56.1639438),NA
c(10.1873807, 56.1643275),NA
c(10.1879588, 56.1650564),NA
c(10.1879706, 56.1650884),NA
c(10.1879828, 56.1651231),1512
c(10.1888892, 56.1686896),1513
c(10.1889374, 56.168713),1514
c(10.1908949, 56.1721871),NA
c(10.1910959, 56.1721611),NA
c(10.191177, 56.1721506),NA
c(10.1916201, 56.1720932),NA
c(10.1919187, 56.1720545),NA
c(10.1922617, 56.17201),1516
c(10.1920337, 56.1730922),NA
c(10.1919883, 56.1729726),NA
c(10.1919853, 56.1729646),NA
c(10.1919311, 56.1728392),NA
c(10.1918984, 56.1727528),NA
c(10.1918646, 56.1726725),NA
c(10.1918025, 56.1725333),NA
c(10.1917879, 56.1725016),1518
c(10.204412, 56.1694875),1519
c(10.2046249, 56.1695199),NA
c(10.2047214, 56.1695405),NA
c(10.2060693, 56.1689266),1520
c(10.2062733, 56.1686716),1521
c(10.2052389, 56.1683085),1522
c(10.2061273, 56.1683199),1523
c(10.2064985, 56.1673994),NA
c(10.2066358, 56.1674769),1524
c(10.2063078, 56.1671519),1525
c(10.2071679, 56.1672902),NA
c(10.2072099, 56.1672988),1526
c(10.2074502, 56.1673482),NA
c(10.2074776, 56.1673539),NA
c(10.2077459, 56.167409),1527
c(10.2080113, 56.1670862),NA
c(10.208228, 56.1669758),1528
c(10.2078247, 56.1670522),1529
c(10.2053568, 56.1680181),1531
c(10.2053008, 56.1680133),NA
c(10.2050146, 56.1680283),NA
c(10.204671, 56.1680554),1532
c(10.1984156, 56.1687827),1534
c(10.1998655, 56.1685166),NA
c(10.199843, 56.1684518),NA
c(10.200542, 56.1681436),NA
c(10.2006301, 56.1681808),NA
c(10.2008775, 56.1678951),1538
c(10.1994028, 56.1682797),1540
c(10.1993087, 56.1677791),1541
c(10.1995935, 56.1677422),NA
c(10.1995268, 56.1678251),NA
c(10.1977201, 56.1671395),1542
c(10.1978351, 56.167046),NA
c(10.1982755, 56.166685),1543
c(10.1983501, 56.1668545),NA
c(10.1982189, 56.1669764),NA
c(10.1985611, 56.167227),1544
c(10.1985951, 56.1671803),1546
c(10.1989552, 56.1669763),1548
c(10.1986461, 56.1664205),NA
c(10.1988051, 56.1664956),1550
c(10.1990357, 56.1660931),NA
c(10.1992345, 56.1661775),NA
c(10.1998306, 56.1663283),1552
c(10.2003473, 56.1659757),1553
c(10.2004063, 56.1658891),NA
c(10.2003973, 56.1657743),NA
c(10.2000643, 56.1656906),NA
c(10.1996777, 56.1655667),NA
c(10.2016162, 56.1658776),1555
c(10.2016518, 56.1666785),1556
c(10.2016148, 56.1667297),NA
c(10.2011463, 56.1666897),NA
c(10.2011269, 56.1666855),NA
c(10.2005337, 56.1665616),NA
c(10.2004577, 56.1665386),NA
c(10.2009348, 56.1670091),1559
c(10.2003147, 56.1668881),1560
c(10.2017887, 56.1671938),NA
c(10.2019187, 56.1672081),1561
c(10.2016425, 56.1674854),1562
c(10.2017797, 56.1675264),NA
c(10.2009169, 56.1675899),NA
c(10.2008486, 56.1675997),NA
c(10.2007627, 56.1676826),1565
c(10.1996416, 56.1677246),NA
c(10.2023034, 56.1658643),1568
c(10.2022201, 56.1659021),NA
c(10.2021596, 56.1659566),NA
c(10.2023034, 56.1661218),NA
c(10.2024066, 56.1662843),NA
c(10.2021584, 56.1666674),1569
c(10.2024237, 56.1667103),1570
c(10.2023472, 56.1666979),NA
c(10.2017999, 56.1658874),1572
c(10.2044421, 56.1670192),1573
c(10.2043215, 56.1670749),NA
c(10.203642, 56.1673643),NA
c(10.2035574, 56.1673265),NA
c(10.2038628, 56.1670648),NA
c(10.2038627, 56.167013),1574
c(10.2032558, 56.1677777),NA
c(10.2026101, 56.1676118),NA
c(10.2023962, 56.1674842),1576
c(10.2044937, 56.1680452),1578
c(10.2024178, 56.1676522),1580
c(10.2020204, 56.1675789),NA
c(10.2020947, 56.1674823),NA
c(10.2011835, 56.1680769),NA
c(10.2013729, 56.1681163),NA
c(10.2015948, 56.1681591),1583
c(10.2013807, 56.1681963),NA
c(10.2012863, 56.1683323),NA
c(10.2012063, 56.1684475),1585
c(10.2020315, 56.1685277),1587
c(10.2055255, 56.1666379),1588
c(10.205518, 56.1666492),NA
c(10.2054522, 56.1667485),NA
c(10.2053702, 56.1668713),1589
c(10.2053268, 56.1669379),1590
c(10.205285, 56.167001),1591
c(10.2052167, 56.1671041),NA
c(10.205186, 56.1671504),1592
c(10.2108748, 56.1658881),NA
c(10.2109144, 56.1660423),NA
c(10.2106609, 56.1662163),NA
c(10.2104497, 56.1664155),NA
c(10.2103779, 56.1665254),NA
c(10.2103306, 56.1665978),NA
c(10.2100774, 56.1669863),NA
c(10.209951, 56.1671503),NA
c(10.2097744, 56.167395),1594
c(10.2085688, 56.1659399),1595
c(10.2088111, 56.1659912),1596
c(10.2099262, 56.1669541),1599
c(10.2087949, 56.1666968),NA
c(10.2098888, 56.1662995),1601
c(10.2103375, 56.1661223),1602
c(10.2103067, 56.1669353),1604
c(10.2105202, 56.167021),NA
c(10.2108554, 56.1671776),1606
c(10.2117983, 56.1671537),1607
c(10.2083109, 56.1694807),1608
c(10.2086869, 56.1693652),1609
c(10.2076918, 56.1703698),1610
c(10.2076296, 56.1703591),NA
c(10.2072077, 56.1702854),1611
c(10.208006, 56.1705392),1612
c(10.207562, 56.1706146),1613
c(10.1845835, 56.1703043),1614
c(10.1848117, 56.1702849),NA
c(10.1846769, 56.1697474),1615
c(10.1847518, 56.1708892),1616
c(10.1853446, 56.170651),1617
c(10.184888, 56.1704914),1618
c(10.1855037, 56.1705738),NA
c(10.1858597, 56.1706526),NA
c(10.1859683, 56.1706971),1619
c(10.1783775, 56.1733983),1623
c(10.1783885, 56.1740062),NA
c(10.177733, 56.1746316),NA
c(10.17736, 56.1735666),1624
c(10.1787692, 56.1741392),1626
c(10.1790744, 56.1733703),NA
c(10.1794624, 56.1734322),NA
c(10.1795227, 56.1734456),1627
c(10.1756869, 56.1738499),1628
c(10.1759539, 56.1754935),1629
c(10.1751793, 56.1739322),1630
c(10.1744167, 56.1724602),NA
c(10.1742458, 56.1723559),1631
c(10.1733049, 56.1725095),1633
c(10.1742417, 56.1752414),1634
c(10.1727573, 56.1760708),1635
c(10.1717727, 56.1756843),NA
c(10.1716927, 56.1754566),1637
c(10.1707446, 56.175499),NA
c(10.1706461, 56.1752643),1639
c(10.1692128, 56.1760168),NA
c(10.1692263, 56.1760484),NA
c(10.1693135, 56.1762521),NA
c(10.169323, 56.1762744),NA
c(10.1694166, 56.1765417),NA
c(10.1694272, 56.1765721),NA
c(10.1694739, 56.1767055),1641
c(10.1731256, 56.1764212),NA
c(10.1721581, 56.1765492),NA
c(10.1719628, 56.1765736),NA
c(10.1717803, 56.1765964),NA
c(10.1707602, 56.1767237),NA
c(10.1698401, 56.1768338),NA
c(10.1697229, 56.1768482),NA
c(10.1696374, 56.176859),NA
c(10.1692943, 56.1768983),NA
c(10.1692670228722, 56.1769015904825),1643
c(10.1692395, 56.1767632),1644
c(10.2114874, 56.1554251),1645
c(10.2104108, 56.1559313),NA
c(10.2342946, 56.1805184),1646
c(10.2345252, 56.1808737),1647
c(10.2342846, 56.180919),1648
c(10.2349078, 56.1807954),NA
c(10.2350675, 56.180761),1649
c(10.2350611, 56.1825179),1650
c(10.2356795, 56.1824008),1651
c(10.2372126, 56.1830704),1652
c(10.2386121740001, 56.1842543839751),1653
c(10.2386871934314, 56.184307098122),1654
c(10.2390558, 56.1846606),1655
c(10.2342619, 56.1826853),1656
c(10.233726, 56.1827954),1657
c(10.2353059, 56.1829855),1658
c(10.2344057, 56.1833645),1659
c(10.2397218, 56.1907547),1660
c(10.2404286, 56.1905092),NA
c(10.2405193, 56.1904777),NA
c(10.2449369, 56.1888655),1661
c(10.2452618, 56.1887557),1662
c(10.2396462, 56.1895289),NA
c(10.2396778, 56.1890644),NA
c(10.2392414, 56.1884047),NA
c(10.2390353, 56.1879548),NA
c(10.2389126, 56.187324),1664
c(10.2384449, 56.1862634),1665
c(10.2399279, 56.1859706),1666
c(10.2399232, 56.1870611),NA
c(10.2416654, 56.1866042),1667
c(10.2410371, 56.1871203),1668
c(10.2401593, 56.1873528),1669
c(10.2419455, 56.1865247),NA
c(10.2419533, 56.186521),1670
c(10.2385919, 56.1865967),NA
c(10.238493, 56.1863725),NA
c(10.2395582, 56.1856603),1671
c(10.2391102, 56.1896837),1673
c(10.2389758, 56.1898465),1674
c(10.2410117, 56.1878898),NA
c(10.2426403, 56.1874161),1676
c(10.2429349, 56.1873337),1677
c(10.2399883, 56.1890066),NA
c(10.2409797, 56.1887343),NA
c(10.2419391, 56.1884571),NA
c(10.243706, 56.1879161),1679
c(10.2422347, 56.1887568),NA
c(10.2422799, 56.18881),1681
c(10.2413162, 56.1890244),1683
c(10.2443889, 56.1887172),1685
c(10.2402634, 56.1863972),1686
c(10.2402362, 56.1912463),1687
c(10.2446851, 56.1896202),NA
c(10.2453492, 56.1897074),1688
c(10.2438929, 56.190562),NA
c(10.2429902, 56.1908988),NA
c(10.2408576, 56.1917257),1689
c(10.2454014, 56.189681),NA
c(10.2458902, 56.189485),1690
c(10.2468118, 56.1903973),NA
c(10.2466047, 56.1904897),NA
c(10.24627, 56.190635),NA
c(10.2455103, 56.1910117),NA
c(10.2454853, 56.1910225),NA
c(10.2449373, 56.1912587),NA
c(10.2444782, 56.1914566),NA
c(10.2441646, 56.1915918),NA
c(10.2440105, 56.1916582),NA
c(10.2438671, 56.1917221),NA
c(10.2437052, 56.1917943),NA
c(10.2432676, 56.1919894),NA
c(10.2431697, 56.1920321),NA
c(10.242914, 56.1921435),NA
c(10.2428652, 56.1921648),NA
c(10.2422389, 56.1924466),1691
c(10.1888886, 56.1804137),NA
c(10.1889155, 56.1803971),NA
c(10.1889643, 56.180367),1693
c(10.1880877, 56.1815271),NA
c(10.188953, 56.1818646),NA
c(10.1890384, 56.1818947),NA
c(10.189977, 56.1822187),NA
c(10.1912824, 56.1828026),NA
c(10.191206, 56.183265),1695
c(10.1871315, 56.18059),1696
c(10.1884147, 56.1803212),1697
c(10.188642, 56.1802549),1698
c(10.18504, 56.1808623),1699
c(10.183994, 56.1804793),NA
c(10.1831018, 56.1784367),NA
c(10.18304, 56.178301),1702
c(10.1823005, 56.1780307),NA
c(10.1820869, 56.1781115),1703
c(10.1825548, 56.1776204),1704
c(10.1827948, 56.1775424),1705
c(10.182067, 56.1775205),1706
c(10.1822477, 56.1775183),NA
c(10.1826549, 56.1776495),NA
c(10.1925301, 56.1760638),1707
c(10.1925563, 56.176124),NA
c(10.1926011, 56.1763136),NA
c(10.1927005, 56.1766659),NA
c(10.1927024, 56.1766728),NA
c(10.1927346, 56.1767908),NA
c(10.1927976, 56.1770213),NA
c(10.1928823, 56.1773567),NA
c(10.1929183, 56.1774776),NA
c(10.1929247, 56.1775094),NA
c(10.1929348, 56.1775515),NA
c(10.1929768, 56.1776865),NA
c(10.1930914, 56.1780787),NA
c(10.1931267, 56.1782189),NA
c(10.1932232, 56.1786149),NA
c(10.1934173, 56.1792946),1708
c(10.1945429, 56.1772476),NA
c(10.1962619, 56.1777328),1711
c(10.1961534, 56.177746),NA
c(10.1960028, 56.177767),NA
c(10.1951932, 56.177888),1712
c(10.1941554, 56.1784785),1714
c(10.1962481, 56.1820131),1716
c(10.1971266, 56.1823006),NA
c(10.1971723, 56.1823095),1717
c(10.1958729, 56.1845195),1718
c(10.1957629, 56.1844971),NA
c(10.195615, 56.184467),NA
c(10.195765, 56.1842234),NA
c(10.1959384, 56.1842587),NA
c(10.1960358, 56.1842787),1719
c(10.1951597, 56.1846475),1720
c(10.1955903, 56.1847414),1721
c(10.190731, 56.1854287),1722
c(10.1923416, 56.1857642),NA
c(10.1926455, 56.1858275),NA
c(10.1930893, 56.18592),NA
c(10.1941584, 56.1861427),NA
c(10.1945671, 56.1855342),NA
c(10.1951456, 56.1846731),NA
c(10.193885, 56.1844112),NA
c(10.1925128, 56.1841261),NA
c(10.1919738, 56.184016),1723
c(10.1879133, 56.1816125),NA
c(10.1877958, 56.1816639),1725
c(10.2147802, 56.1600144),NA
c(10.2148367, 56.1600111),NA
c(10.214838, 56.1600111),1726
c(10.1924151, 56.1619638),1728
c(10.1899243, 56.1627502),1729
c(10.1900654, 56.1627667),NA
c(10.1906998, 56.1626983),NA
c(10.1909471, 56.1627377),NA
c(10.1930696, 56.1632419),NA
c(10.1933811, 56.1632204),NA
c(10.1941221, 56.1630136),NA
c(10.1947764, 56.162899),NA
c(10.1955164, 56.1627824),1730
c(10.1967828, 56.163202),NA
c(10.1962042, 56.1635753),NA
c(10.1956614, 56.163968),1732
c(10.1970437, 56.16453),1733
c(10.1958817, 56.1631837),1734
c(10.1927176, 56.1709789),1735
c(10.193139, 56.1717531),NA
c(10.1931584, 56.1717886),NA
c(10.1931747, 56.1718171),NA
c(10.1932141, 56.171891),NA
c(10.1932206, 56.171903),1736
c(10.19246, 56.1719075),1738
c(10.1990542, 56.189061),1739
c(10.1999318, 56.1895505),NA
c(10.2006615, 56.1898693),1740
c(10.2021217, 56.1910988),1741
c(10.2020623, 56.1910989),NA
c(10.2017415, 56.1910996),NA
c(10.2011487, 56.1911008),1742
c(10.2011487, 56.1908776),1743
c(10.2017294, 56.1907023),NA
c(10.2017373, 56.1905084),1744
c(10.2013593, 56.1917484),1745
c(10.2013602, 56.1920015),1746
c(10.2010139341192, 56.1920006131247),1747
c(10.2018554, 56.19208),1748
c(10.2020287470022, 56.1924829342287),1749
c(10.2020315, 56.1924617),1750
c(10.2020311, 56.1921722),1751
c(10.2047745, 56.1925858),1752
c(10.21497, 56.1911272),NA
c(10.2152046, 56.191105),NA
c(10.2158918, 56.1913088),NA
c(10.2159593, 56.1913309),NA
c(10.2161294, 56.1913789),NA
c(10.2179671, 56.1910695),NA
c(10.2181904, 56.1910302),NA
c(10.2182021, 56.1911637),NA
c(10.2182534, 56.1918023),NA
c(10.2182466, 56.1920595),NA
c(10.2182207, 56.192113),NA
c(10.2176133, 56.1921986),NA
c(10.2169953, 56.1922366),NA
c(10.2164263, 56.1922715),NA
c(10.215419, 56.1919109),NA
c(10.2157555, 56.1914067),1756
c(10.221121, 56.1906904),1757
c(10.2231898, 56.1914102),NA
c(10.2241837, 56.1921142),NA
c(10.2252054, 56.192923),1758
c(10.2283389, 56.1903737),1759
c(10.2295242, 56.1899989),NA
c(10.2306862, 56.1895374),NA
c(10.2317711, 56.1891807),NA
c(10.2322596, 56.1890193),NA
c(10.2332615, 56.1886784),NA
c(10.2333497, 56.1886495),NA
c(10.2336646, 56.1885536),NA
c(10.233868, 56.1884939),NA
c(10.2345939, 56.188281),NA
c(10.2349436, 56.1882131),NA
c(10.2357179, 56.1880636),NA
c(10.236659, 56.1878819),NA
c(10.2369559, 56.1878247),NA
c(10.2254695, 56.1916092),1760
c(10.2263559, 56.1923067),1761
c(10.2206438, 56.1926545),NA
c(10.2212302, 56.1923709),NA
c(10.2221056, 56.1919459),NA
c(10.2242785, 56.1908826),NA
c(10.2244913, 56.1907456),1763
c(10.2225484, 56.1937498),1765
c(10.2280117, 56.1892172),1766
c(10.2317759, 56.1879782),1767
c(10.2318834, 56.1882155),NA
c(10.2329491, 56.1880756),1770
c(10.232677, 56.1874928),1772
c(10.2222325, 56.1859104),1773
c(10.2226044, 56.1858965),NA
c(10.2228452, 56.1858874),NA
c(10.2233736, 56.1858824),NA
c(10.2237484, 56.1859721),NA
c(10.2240144, 56.1861149),NA
c(10.2240939, 56.1861595),NA
c(10.2244192, 56.1863319),NA
c(10.2245506, 56.1863755),NA
c(10.2248038, 56.1864405),NA
c(10.2253232, 56.1865647),1774
c(10.2290829, 56.1871768),1775
c(10.2293596, 56.1879516),1776
c(10.2272089, 56.1864529),1777
c(10.2283575, 56.1863188),NA
c(10.2285101, 56.1863008),NA
c(10.2295067, 56.1861794),NA
c(10.2296174, 56.1861675),NA
c(10.2301906, 56.1861014),NA
c(10.2308756, 56.1860177),NA
c(10.231178, 56.1859808),1778
c(10.2320681, 56.1847744),1779
c(10.2329417, 56.1847322),NA
c(10.233147, 56.1849953),NA
c(10.2337429, 56.1854239),NA
c(10.2339127, 56.1858772),NA
c(10.2338646, 56.1859895),1780
c(10.2348746, 56.1853128),NA
c(10.2357829, 56.1852973),NA
c(10.2361407, 56.1852557),NA
c(10.2360256, 56.1849361),NA
c(10.2354812, 56.1846169),1782
c(10.2329167, 56.1850226),1783
c(10.2343597, 56.1846619),NA
c(10.2360758, 56.1846668),1784
c(10.2365424, 56.1852948),1785
c(10.2369612, 56.1851566),1786
c(10.2322369, 56.1857814),1787
c(10.2311554, 56.1859067),1788
c(10.2312075, 56.1860466),1789
c(10.2322919, 56.1859223),1790
c(10.2355542, 56.1833364),1791
c(10.2337597, 56.1837332),1792
c(10.2599163, 56.1957997),1793
c(10.2599478, 56.1954664),1794
c(10.2582827, 56.2005762),1795
c(10.2584981, 56.2004122),NA
c(10.2587175, 56.2002275),NA
c(10.2589305, 56.1995924),NA
c(10.2589395, 56.1995585),NA
c(10.2594723, 56.1975575),NA
c(10.2596579, 56.1968009),NA
c(10.25979, 56.1962882),NA
c(10.2597517, 56.2024185),1796
c(10.2151059, 56.1970736),1797
c(10.2151364, 56.1972841),NA
c(10.2151495, 56.1974189),NA
c(10.2151851, 56.1976908),NA
c(10.2152488, 56.198176),NA
c(10.2152915, 56.1985117),NA
c(10.2152847127643, 56.1987038142735),1798
c(10.2179629, 56.1965961),1799
c(10.2180137, 56.196673),NA
c(10.2186252, 56.1975098),NA
c(10.220242, 56.1983938),NA
c(10.2212295, 56.1987691),NA
c(10.2230672, 56.1994617),NA
c(10.2236118, 56.1996699),NA
c(10.2243281, 56.1999437),NA
c(10.2256599, 56.2003518),NA
c(10.2282816, 56.2008998),NA
c(10.2283130491126, 56.2011848681916),1800
c(10.2179983, 56.1957602),NA
c(10.2181704, 56.1957223),NA
c(10.2186241, 56.1956391),NA
c(10.218745, 56.1956275),NA
c(10.2189758, 56.1956053),1802
c(10.220106, 56.1954731),1803
c(10.2199718, 56.195516),NA
c(10.2197061, 56.1955314),NA
c(10.2192731, 56.1955435),1804
c(10.2276707, 56.1937825),1805
c(10.2291065, 56.1936476),NA
c(10.2293444, 56.1936221),NA
c(10.2305352, 56.1934944),NA
c(10.2322198, 56.1934895),1806
c(10.2468917, 56.1948084),1807
c(10.2468162, 56.1948559),NA
c(10.2462137, 56.1950264),NA
c(10.242088, 56.1959835),NA
c(10.2408832, 56.1962983),1808
c(10.2393236, 56.1954575),1809
c(10.2419266, 56.1968928),NA
c(10.2429885, 56.1974874),NA
c(10.2433942, 56.1977221),NA
c(10.2440411, 56.19808),NA
c(10.2441631, 56.1981459),1810
c(10.238075, 56.1955195),1811
c(10.2382065, 56.195515),NA
c(10.2385522, 56.1954805),NA
c(10.2387858, 56.1954409),NA
c(10.2393689, 56.1954037),1812
c(10.2474722, 56.1953958),1814
c(10.2489306, 56.1958437),1815
c(10.2471888, 56.1963549),NA
c(10.2462024, 56.1992961),1817
c(10.2464641, 56.1985704),NA
c(10.2465086, 56.198434),NA
c(10.2468723, 56.1973181),NA
c(10.2469633, 56.197045),NA
c(10.2477207, 56.1952281),1818
c(10.2503039, 56.1965422),1819
c(10.2500983, 56.1966316),NA
c(10.2495076, 56.1967977),NA
c(10.2491012, 56.1969119),NA
c(10.248977, 56.1969469),NA
c(10.2488177, 56.1969914),NA
c(10.2487596, 56.1970077),NA
c(10.2487463, 56.1970114),1820
c(10.2530778, 56.1979473),1821
c(10.2519084, 56.1983485),NA
c(10.2515905, 56.1984449),NA
c(10.2514779, 56.1984791),NA
c(10.2507247, 56.1987076),NA
c(10.2495402, 56.199067),NA
c(10.2489986, 56.1992313),NA
c(10.2482222, 56.1994668),NA
c(10.2480662, 56.1995141),NA
c(10.2471005, 56.1998071),1822
c(10.2544782, 56.1986555),1823
c(10.2543669, 56.1986886),NA
c(10.2541186, 56.1987652),NA
c(10.2484002, 56.2005448),1824
c(10.2553015, 56.1990774),1825
c(10.2550893, 56.1991891),NA
c(10.2509284, 56.2005794),NA
c(10.2493949, 56.201106),NA
c(10.2484569, 56.2014132),NA
c(10.2477545, 56.2016561),1826
c(10.2573436, 56.2001973),1827
c(10.2568684, 56.2003352),NA
c(10.2567841, 56.2003565),NA
c(10.2554067, 56.2007046),NA
c(10.2526535, 56.2014026),NA
c(10.2512749, 56.2017506),NA
c(10.25106, 56.2018048),NA
c(10.2507556, 56.2018765),NA
