"geometry",".tidygraph_node_index"
c(10.2057875, 56.1642285),63
c(10.2053711, 56.1640922),NA
c(10.2052975, 56.1640608),64
c(10.2016775, 56.1592955),65
c(10.2014285, 56.1595045),66
c(10.1937389, 56.1575997),67
c(10.1936513, 56.1576177),NA
c(10.1928707, 56.1578383),68
c(10.1438701, 56.153617),69
c(10.1438303, 56.1537033),NA
c(10.1438095, 56.1537484),NA
c(10.143781, 56.1538098),70
c(10.198382, 56.1578416),71
c(10.1997072, 56.1582745),72
c(10.1962741, 56.1565442),73
c(10.1966716, 56.1567018),NA
c(10.1968834, 56.156785),NA
c(10.1970186, 56.156839),74
c(10.2001626, 56.1574158),75
c(10.1999917, 56.1578974),NA
c(10.2110057, 56.1621088),76
c(10.211124, 56.1619376),77
c(10.212671, 56.1564489),78
c(10.2127119, 56.1565733),NA
c(10.2132059, 56.1576559),79
c(10.2140083, 56.1592873),80
c(10.2143626, 56.1599108),NA
c(10.2144623, 56.1600714),81
c(10.2160204, 56.1632628),82
c(10.2158843, 56.1630971),83
c(10.2188857, 56.1686182),84
c(10.2189779, 56.1687454),85
c(10.174825, 56.1398198),86
c(10.176516, 56.139558),87
c(10.1436571, 56.1534679),88
c(10.1436838, 56.1534124),NA
c(10.1437245, 56.1533279),NA
c(10.1437527, 56.1532776),89
c(10.1619753, 56.1267316),90
c(10.162123, 56.1262661),NA
c(10.1623157, 56.1255986),NA
c(10.1623471, 56.1250756),NA
c(10.1622265, 56.1241935),91
c(10.2050657, 56.1716312),92
c(10.2060873, 56.1718197),93
c(10.2039355, 56.1763961),94
c(10.2038005, 56.1764152),NA
c(10.2028915, 56.1765436),NA
c(10.2026218, 56.1765817),NA
c(10.2020187, 56.1766669),NA
c(10.2015527, 56.1767302),NA
c(10.2014141, 56.1767281),95
c(10.217858, 56.1809942),96
c(10.2172782, 56.1811936),NA
c(10.2167809, 56.1814011),NA
c(10.2166292, 56.181464),NA
c(10.216079, 56.18168),NA
c(10.2154671, 56.1818988),NA
c(10.2148674, 56.1820797),NA
c(10.2142654, 56.1822446),NA
c(10.2136478, 56.1823921),NA
c(10.212981, 56.1825257),NA
c(10.2114496, 56.1827706),NA
c(10.2099381, 56.1829945),NA
c(10.2082981, 56.1832442),97
c(10.2185544, 56.1890823),98
c(10.21853, 56.1890759),99
c(10.1992352, 56.1585645),100
c(10.1994608, 56.1588058),NA
c(10.1999475, 56.1598138),NA
c(10.200024, 56.1599737),101
c(10.2001244, 56.1601404),NA
c(10.2004033, 56.1603133),102
c(10.2000022, 56.1602409),104
c(10.2142972, 56.1602812),105
c(10.2134683, 56.1605117),106
c(10.2042956, 56.1643859),107
c(10.2043367, 56.1644235),NA
c(10.204738, 56.1647907),NA
c(10.2049269, 56.1649636),NA
c(10.2051609, 56.1651777),NA
c(10.2054459, 56.1654385),NA
c(10.2057329, 56.1655843),NA
c(10.2058047, 56.1656208),NA
c(10.2062613, 56.1657557),108
c(10.1991382, 56.1797413),109
c(10.1996709, 56.1789675),110
c(10.2113461, 56.1620999),111
c(10.201239, 56.1566153),112
c(10.2014032, 56.1566352),NA
c(10.2016603, 56.1566461),113
c(10.2024692, 56.1559378),114
c(10.2021464, 56.156656),115
c(10.2076445, 56.161952),116
c(10.2082463, 56.1616937),NA
c(10.2091954, 56.1612864),NA
c(10.209838, 56.1610106),117
c(10.2036215, 56.1610168),118
c(10.2043522, 56.1611426),NA
c(10.2051842, 56.1612859),NA
c(10.2056894, 56.1613684),NA
c(10.2071405, 56.1616235),NA
c(10.2073119, 56.1617284),NA
c(10.2012032, 56.1621485),119
c(10.2012976, 56.1620529),NA
c(10.2024637, 56.1608719),120
c(10.202606, 56.1595844),121
c(10.2014028, 56.1607438),NA
c(10.2002967, 56.1618022),122
c(10.2026669, 56.1584487),124
c(10.2037414, 56.1587203),NA
c(10.2039129, 56.1587635),NA
c(10.2042138, 56.1588337),125
c(10.2077951, 56.160311),126
c(10.2076785, 56.1589083),127
c(10.2019353, 56.1575448),128
c(10.2017634, 56.1572907),129
c(10.1969356, 56.1590773),130
c(10.1961616, 56.1588554),NA
c(10.1960075, 56.1588103),NA
c(10.1946667, 56.1584267),131
c(10.1963503, 56.1596845),132
c(10.1975386, 56.1597955),133
c(10.1962786, 56.1596705),134
c(10.1961578, 56.1596628),NA
c(10.1960837, 56.159658),NA
c(10.195876, 56.1596457),135
c(10.2016628, 56.1555206),136
c(10.2020222, 56.155593),NA
c(10.203009, 56.1557996),NA
c(10.2035905, 56.155919),137
c(10.2005262, 56.155289),138
c(10.2007438, 56.1550473),NA
c(10.2009988, 56.1548237),NA
c(10.2010192, 56.1548052),NA
c(10.2012049, 56.1546836),139
c(10.2039993, 56.1531074),140
c(10.2041937, 56.1533353),NA
c(10.2043007, 56.153472),NA
c(10.2043983, 56.1535946),NA
c(10.2047271, 56.1540145),NA
c(10.2047672, 56.154065),NA
c(10.2050522, 56.1544273),141
c(10.205462, 56.1543391),142
c(10.2070783, 56.1540007),143
c(10.207684, 56.1606917),144
c(10.2080689, 56.1607601),NA
c(10.2090139, 56.1611617),NA
c(10.2013357, 56.1538344),NA
c(10.2017853, 56.1542105),NA
c(10.2018237, 56.1542426),NA
c(10.2019749, 56.1543691),146
c(10.1973411, 56.1571572),NA
c(10.1972986, 56.1571087),147
c(10.2028298, 56.1550895),148
c(10.2036867, 56.1547918),NA
c(10.2037436, 56.154772),149
c(10.2042951, 56.1545866),150
c(10.2053345, 56.155363),NA
c(10.206207, 56.1557962),NA
c(10.2063282, 56.1558105),151
c(10.2069751, 56.1569013),152
c(10.207091, 56.157117),NA
c(10.2073141, 56.1574714),153
c(10.2070371, 56.1580154),154
c(10.2070417, 56.1580829),NA
c(10.2070799, 56.1581521),NA
c(10.2075331, 56.1586592),NA
c(10.2039422, 56.1543309),NA
c(10.2038004, 56.1542297),NA
c(10.2030985, 56.1537287),NA
c(10.2024718, 56.1532827),155
c(10.2032709, 56.1482459),156
c(10.2023128, 56.1482069),NA
c(10.2021632, 56.148203),NA
c(10.2015526, 56.1481869),NA
c(10.2013989, 56.1481828),NA
c(10.2012228, 56.1481782),NA
c(10.2001437, 56.1481392),NA
c(10.1999427, 56.1481335),NA
c(10.1990513, 56.1481065),NA
c(10.1990402, 56.1481061),NA
c(10.1985949, 56.1480884),NA
c(10.1985338, 56.148087),NA
c(10.1975181, 56.1480476),157
c(10.2043378, 56.1454774),158
c(10.2043129, 56.1456252),NA
c(10.2042918, 56.1457508),NA
c(10.2041858, 56.1463026),NA
c(10.204099, 56.1464317),NA
c(10.2038094, 56.1465887),159
c(10.2040317, 56.1454622),160
c(10.1907943, 56.1440189),161
c(10.192586, 56.1441785),NA
c(10.1928001, 56.1441963),NA
c(10.1937874, 56.1442784),162
c(10.1762394, 56.1559255),163
c(10.1774723, 56.155953),NA
c(10.1778927, 56.1559822),NA
c(10.178112, 56.1559985),NA
c(10.1799157, 56.1561192),NA
c(10.1809687, 56.1561566),NA
c(10.1811528, 56.1561636),164
c(10.1657279, 56.1552289),165
c(10.1656807, 56.1553657),NA
c(10.1654664, 56.1559222),NA
c(10.1653096, 56.1563413),NA
c(10.1652327, 56.156546),NA
c(10.1652172, 56.1565983),NA
c(10.1651711, 56.1567443),NA
c(10.1649969, 56.1572352),NA
c(10.1648389, 56.1576695),NA
c(10.1646285, 56.1582476),NA
c(10.1643595, 56.158935),166
c(10.1640612, 56.166867),167
c(10.1641373, 56.1666914),168
c(10.1731484, 56.1637647),169
c(10.1730703, 56.163685),170
c(10.1751732, 56.1637305),171
c(10.1751093, 56.1640812),NA
c(10.1750701, 56.1643059),NA
c(10.1750282, 56.1645457),NA
c(10.1749509, 56.1649576),NA
c(10.1749482, 56.1649726),NA
c(10.1747769, 56.1659137),NA
c(10.1745996, 56.166865),NA
c(10.1745765, 56.1669887),NA
c(10.1745553, 56.1670982),NA
c(10.1745393, 56.1671806),172
c(10.1833337, 56.165854),173
c(10.1834696, 56.1658321),NA
c(10.1839664, 56.1657657),NA
c(10.1842333, 56.1657278),NA
c(10.1847319, 56.1656634),NA
c(10.1851011, 56.1656139),NA
c(10.1852504, 56.1655939),NA
c(10.1855358, 56.1655556),NA
c(10.1858272, 56.1655166),174
c(10.2059099, 56.1638648),175
c(10.2071737, 56.1635606),NA
c(10.2072399, 56.1635447),NA
c(10.2077996, 56.1634056),NA
c(10.2082006, 56.1633076),NA
c(10.208819, 56.1631564),NA
c(10.2092714, 56.1630299),NA
c(10.2094219, 56.162976),NA
c(10.2097636, 56.162835),NA
c(10.2101466, 56.1626684),176
c(10.2103933, 56.1539948),177
c(10.2095983, 56.1540883),NA
c(10.2095247, 56.1540775),178
c(10.2077499, 56.151491),179
c(10.2075901, 56.151302),NA
c(10.2073038, 56.1511407),NA
c(10.2070398, 56.1510242),NA
c(10.2068141, 56.1509524),NA
c(10.2062201, 56.1508515),NA
c(10.2053236, 56.1507198),180
c(10.1983561, 56.1496094),181
c(10.1976707, 56.1496384),NA
c(10.1967136, 56.1496354),NA
c(10.1965203, 56.1498075),182
c(10.1985146, 56.1526424),183
c(10.1979824, 56.1528445),NA
c(10.1978728, 56.1528837),NA
c(10.1971979, 56.1531618),NA
c(10.19717, 56.1532034),NA
c(10.196885, 56.153421),184
c(10.1994681, 56.1584047),185
c(10.1989393, 56.1570922),186
c(10.1994618, 56.1572299),NA
c(10.1995803, 56.1572598),NA
c(10.1996865, 56.1572866),NA
c(10.2115761, 56.152686),187
c(10.2119416, 56.1530012),NA
c(10.2122057, 56.1531864),188
c(10.2183626, 56.178447),189
c(10.2184998, 56.1781637),190
c(10.2181647, 56.1664019),191
c(10.2181592, 56.1666141),NA
c(10.2187138, 56.1682613),NA
c(10.2181292, 56.16599),192
c(10.2179778, 56.1657009),NA
c(10.2179075, 56.1655798),193
c(10.1904083, 56.1527347),194
c(10.1902319, 56.1526519),NA
c(10.1898559, 56.1524393),195
c(10.2130261, 56.1299983),196
c(10.2129053, 56.1306831),197
c(10.2112166, 56.1255974),198
c(10.2101209, 56.1268818),199
c(10.1938522, 56.1442838),200
c(10.193964, 56.1437901),NA
c(10.1940772, 56.1432878),201
c(10.2105367, 56.1615083),202
c(10.2099643, 56.1617632),NA
c(10.208819, 56.162276),203
c(10.204253, 56.1634585),204
c(10.2055179, 56.1628948),NA
c(10.2061057, 56.1626328),205
c(10.2058842, 56.1672308),206
c(10.2062562, 56.1672036),NA
c(10.2065918, 56.1672658),207
c(10.1996949, 56.144984),208
c(10.1997126, 56.1449221),NA
c(10.1997551, 56.144774),NA
c(10.1999163, 56.1444793),209
c(10.2022714, 56.1426714),210
c(10.2041455, 56.1428856),NA
c(10.2055812, 56.1431355),211
c(10.2060099, 56.1432628),NA
c(10.2060695, 56.1432838),NA
c(10.2063625, 56.1434356),NA
c(10.2065674, 56.1436527),NA
c(10.2065784, 56.1436701),NA
c(10.2066074, 56.143719),NA
c(10.2067572, 56.1439761),NA
c(10.20677, 56.1439986),NA
c(10.2067787, 56.1440139),NA
c(10.2069452, 56.14431),NA
c(10.2069837, 56.1443582),NA
c(10.2072202, 56.1446045),NA
c(10.2073529, 56.1448281),212
c(10.2056111, 56.1453466),213
c(10.2038152, 56.1416727),214
c(10.203808, 56.1417286),215
c(10.2066608, 56.1391044),216
c(10.2064209, 56.1393585),NA
c(10.2063183, 56.1394359),217
c(10.2037235, 56.1419709),218
c(10.2036609, 56.1417816),NA
c(10.2036578, 56.1416723),219
c(10.2085679, 56.1248551),220
c(10.2075281, 56.1255011),NA
c(10.207241, 56.1257358),NA
c(10.2069045, 56.1260291),NA
c(10.2066956, 56.126211),NA
c(10.2064115, 56.1264584),NA
c(10.2059489, 56.1268627),NA
c(10.2057629, 56.1270265),NA
c(10.2055666, 56.1271971),221
c(10.1944315, 56.124933),222
c(10.1949517, 56.1252756),NA
c(10.1951855, 56.1254221),NA
c(10.1954372, 56.1255813),NA
c(10.1954781, 56.1256067),223
c(10.2026296, 56.1301143),224
c(10.2030396, 56.1303243),NA
c(10.203364, 56.1305241),NA
c(10.205763, 56.1320491),NA
c(10.2060408, 56.1322316),NA
c(10.2063407, 56.1324563),NA
c(10.206833, 56.1329134),225
c(10.2066844, 56.1257331),227
c(10.2035987, 56.1251766),228
c(10.2029736, 56.1249612),NA
c(10.2026152, 56.1248031),NA
c(10.2016339, 56.1243876),NA
c(10.2012935, 56.1242557),NA
c(10.1997397, 56.1242765),NA
c(10.1979457, 56.1249505),NA
c(10.1975091, 56.1250795),NA
c(10.1963412, 56.1252312),NA
c(10.1961423, 56.1252784),NA
c(10.208742, 56.1451552),229
c(10.2079495, 56.1450042),NA
c(10.207683, 56.1449148),NA
c(10.2074553, 56.1448448),NA
c(10.2071018, 56.1448657),NA
c(10.2067447, 56.1449983),NA
c(10.202319, 56.1301824),230
c(10.2021385, 56.1311886),231
c(10.1890135, 56.1566064),232
c(10.1889882, 56.1567029),233
c(10.1910948, 56.1583754),234
c(10.1910374, 56.1583284),NA
c(10.1909494, 56.1582476),NA
c(10.1905989, 56.1576366),NA
c(10.1905912, 56.1573048),NA
c(10.1906742, 56.1570104),NA
c(10.1906883, 56.1569603),NA
c(10.1907311, 56.1568768),235
c(10.188991, 56.1577052),236
c(10.1828402, 56.1549165),239
c(10.1837823, 56.1549462),NA
c(10.1845698, 56.1549702),NA
c(10.1849071, 56.1549813),NA
c(10.1853043, 56.1549955),NA
c(10.1855517, 56.1550038),NA
c(10.1861083, 56.1550224),NA
c(10.1866209, 56.1550395),NA
c(10.1870041, 56.1550524),NA
c(10.1873438, 56.1550641),NA
c(10.1878856, 56.1550828),240
c(10.1878076, 56.1558273),NA
c(10.1877966, 56.1560432),NA
c(10.1877925, 56.156097),241
c(10.1657536, 56.1551533),242
c(10.1968784, 56.1560251),243
c(10.1970094, 56.1560985),NA
c(10.1970283, 56.156101),244
c(10.2050586, 56.1522418),245
c(10.2072984, 56.1519456),NA
c(10.2079615, 56.1518103),246
c(10.2069329, 56.1537806),247
c(10.2070116, 56.1538886),248
c(10.2025239, 56.1531011),249
c(10.2023501, 56.1529502),NA
c(10.2023265, 56.1529239),250
c(10.2057311, 56.1623752),NA
c(10.2055895, 56.162285),NA
c(10.2053259, 56.1621171),NA
c(10.2053018, 56.1621038),NA
c(10.2033525, 56.1616331),251
c(10.2073313, 56.161288),NA
c(10.2074347, 56.1611201),NA
c(10.2075721, 56.1608665),NA
c(10.2079078, 56.1614371),NA
c(10.2120256, 56.1581505),255
c(10.2116914, 56.158237),NA
c(10.2113307, 56.1583735),NA
c(10.2110931, 56.1584685),NA
c(10.2110239, 56.1584944),NA
c(10.2107895, 56.1585822),NA
c(10.2104775, 56.1586797),NA
c(10.210411, 56.1586967),NA
c(10.2099901, 56.158786),NA
c(10.209585, 56.1588624),256
c(10.1975984, 56.1665483),257
c(10.1974851, 56.1665527),NA
c(10.1964991, 56.1666042),NA
c(10.1954882, 56.166658),NA
c(10.1944703, 56.1667055),NA
c(10.1928093, 56.1667205),258
c(10.1960957, 56.1648866),NA
c(10.1960588, 56.1648597),260
c(10.1951969, 56.1654428),NA
c(10.195167, 56.1654231),262
c(10.1949753, 56.1649651),263
c(10.1937451, 56.1651593),NA
c(10.1926269, 56.1653357),NA
c(10.1911348, 56.1655712),NA
c(10.1904184, 56.1656843),NA
c(10.189953, 56.1657577),NA
c(10.1893173, 56.1658581),NA
c(10.1891364, 56.1658866),NA
c(10.1886689, 56.1659892),NA
c(10.1885743, 56.1660233),264
c(10.1890171, 56.1656102),NA
c(10.1889264, 56.1655353),NA
c(10.1888384, 56.1654636),NA
c(10.1886049, 56.1652329),NA
c(10.1885424, 56.1651563),266
c(10.1890028, 56.1654556),268
c(10.1956263, 56.1623556),269
c(10.1955417, 56.1623686),NA
c(10.1954291, 56.162386),NA
